Tanggal;Yield;Inflation
31/07/2024;0.06889;0.0213
28/06/2024;0.07054;0.0251
31/05/2024;0.06930;0.0284
30/04/2024;0.07268;0.03
28/03/2024;0.06692;0.0305
29/02/2024;0.06606;0.0275
31/01/2024;0.06585;0.0257
29/12/2023;0.06482;0.0261
30/11/2023;0.06616;0.0286
31/10/2023;0.07072;0.0256
29/09/2023;0.06910;0.0228
31/08/2023;0.06381;0.0327
31/07/2023;0.06268;0.0308
28/06/2023;0.06325;0.0352
31/05/2023;0.06392;0.04
28/04/2023;0.06536;0.0433
31/03/2023;0.06815;0.0497
28/02/2023;0.06885;0.0547
31/01/2023;0.06706;0.0528
30/12/2022;0.06925;0.0551
30/11/2022;0.06949;0.0542
31/10/2022;0.07541;0.0571
30/09/2022;0.07380;0.0595
31/08/2022;0.07117;0.0469
29/07/2022;0.07197;0.0494
30/06/2022;0.07249;0.0435
31/05/2022;0.07047;0.0355
28/04/2022;0.06998;0.0347
31/03/2022;0.06749;0.0264
25/02/2022;0.06510;0.0206
31/01/2022;0.06449;0.0218
31/12/2021;0.06368;0.0187
30/11/2021;0.06267;0.0175
29/10/2021;0.06169;0.0166
30/09/2021;0.06353;0.016
31/08/2021;0.06077;0.0159
30/07/2021;0.06307;0.0152
30/06/2021;0.06630;0.0133
31/05/2021;0.06445;0.0168
30/04/2021;0.06476;0.0142
31/03/2021;0.06814;0.0137
26/02/2021;0.06598;0.0138
29/01/2021;0.06257;0.0155
30/12/2020;0.05942;0.0168
30/11/2020;0.06188;0.0159
28/10/2020;0.06787;0.0144
30/09/2020;0.06930;0.0142
31/08/2020;0.06864;0.0132
30/07/2020;0.06825;0.0154
30/06/2020;0.07215;0.0196
29/05/2020;0.07340;0.0219
30/04/2020;0.07892;0.0267
31/03/2020;0.07907;0.0296
28/02/2020;0.06887;0.0298
31/01/2020;0.06645;0.0268
31/12/2019;0.07047;0.0272
29/11/2019;0.07074;0.03
31/10/2019;0.07005;0.0313
30/09/2019;0.07296;0.0339
30/08/2019;0.07354;0.0349
